VehicleSpeed[km/h],EngineFuelRate[L/h]
64.92700031,22.14999962
65.02200153,21.85000038
65.30100085,21.25
65.29700305,20.20000076
64.97800281,18.25
65.03099658,17.20000076
64.76199939,15.60000038
64.94499805,16.45000076
64.98999622,17.45000076
64.67799976,18.14999962
64.65199878,18.89999962
64.7980025,19.54999924
64.72299792,20.75
64.92899921,20.85000038
64.71199634,21.70000076
64.77000262,21.75
64.80299976,21.85000038
65.02599933,20.85000038
65.06999805,20.75
64.84699847,21.39999962
65.13699939,21.85000038
65.54700305,19.85000038
65.32800128,17.04999924
64.81100299,17.35000038
65.03600146,19.39999962
65.04499652,19.0
64.73499896,18.89999962
65.10800006,19.89999962
65.1259978,17.64999962
65.21600177,16.25
65.52100208,14.10000038
65.46700122,11.44999981
65.20899799,8.550000191
65.50500323,8.5
64.93900134,8.399999619
65.02899768,9.25
64.85500171,11.0
64.6279967,11.89999962
64.57900073,13.85000038
64.54499652,16.14999962
64.66699817,16.75
64.60600116,18.14999962
