time[s],VehicleWeight[ton],VehicleSpeed[km/h],EngineSpeed[rpm],grad[%]
511,22.5,0.094999999,500,0
512,22.5,0.241999999,500.25,0
513,22.5,0.059,500.25,0
514,22.5,0.118000001,499.5,0
515,22.5,0.166999996,499.25,0
516,22.5,0.123000003,500.5,0
517,22.5,0.172000006,500,0
518,22.5,0.078000002,635.5,0
519,22.5,4.415999889,717,0
520,22.5,8.107000351,1276.75,11.49883099
521,22.5,13.23499966,1690.75,0
522,22.5,13.85700035,1547,5.315229805
523,22.5,13.33500004,961.75,0
524,22.5,14.41300011,1103.25,2.594779101
525,22.5,18.3560009,1353.25,-2.197196395
526,22.5,21.64599991,1600.25,-3.599825084
527,22.5,25.16600037,1770,-3.076131384
528,22.5,25.69799995,1487,-4.246621096
529,22.5,25.63599968,1058.25,0
530,22.5,27.52499962,1110.75,0
531,22.5,29.5189991,1232.75,-1.262182407
532,22.5,32.68799973,1354.75,0
533,22.5,35.67599869,1473.75,1.053184911
534,22.5,37.95500183,1579.75,0.977848058
535,22.5,40.48799896,1639.75,0.917867424
536,22.5,40.92599869,1643.25,0.884367958
537,22.5,40.375,1173,0.885597136
538,22.5,41.03099823,1162.5,-0.88445487
539,22.5,42.15999985,1192.5,-0.865477426
540,22.5,44.34400177,1229.75,0
541,22.5,44.69400024,1237.75,0
542,22.5,44.22399902,1021.25,1.619468091
543,22.5,43.83399963,1007.5,0
544,22.5,44.31900024,1016.5,0.816760992
545,22.5,45.06499863,1014.5,0.805512528
546,22.5,44.97100067,1015.75,0
547,22.5,44.43399811,1013.75,0
548,22.5,44.49200058,1013.25,-0.809661201
549,22.5,44.24000168,1006.75,0
550,22.5,44.5530014,1006.5,0
551,22.5,43.95399857,1011.75,0.813494197
552,22.5,43.88000107,1007.5,-1.639454688
553,22.5,43.96699905,1004,0
554,22.5,44.08000183,1005.25,0.817744283
555,22.5,44.63299942,1008.5,-0.811605183
556,22.5,44.06200027,1009.5,0
557,22.5,43.85100174,1011.25,0
558,22.5,44.38600159,1013.5,-0.815983418
559,22.5,44.31900024,1012,-0.811678365
560,22.5,44.43600082,1014,0
561,22.5,44.47800064,1011,-0.80977432
562,22.5,44.22600174,1009.75,0
563,22.5,43.90599823,1006.5,0
564,22.5,43.93899918,1007.5,-0.819624714
565,22.5,44.30799866,1015.75,0
566,22.5,44.23199844,1006.25,-0.813191032
567,22.5,43.76399994,1009.75,0
568,22.5,44.35499954,1014.5,0
569,22.5,44.18399811,1007.75,0.813200211
570,22.5,43.89199829,1010.25,-0.817475073
571,22.5,43.97900009,1011.5,-0.819382196
572,22.5,44.57899857,1013.75,-0.813025723
573,22.5,44.11100006,1010.25,-0.811819553
574,22.5,44.05099869,1010.25,0
575,22.5,44.23199844,1015.75,0
576,22.5,44.08000183,1007,0
577,22.5,43.7859993,1007,-0.819428789
578,22.5,44.80199814,1009.5,-1.625500828
579,22.5,44.32799911,1010.75,0
580,22.5,44.13700104,1004.25,-0.813880413
581,22.5,44.30400085,1005,0.814101258
582,22.5,44.08000183,1008,0
583,22.5,44.17399979,1010,-1.631656393
584,22.5,43.7140007,1011.5,-0.819223676
585,22.5,44.32899857,1016.25,0
586,22.5,44.47999954,1010.75,0.810727881
587,22.5,44.03900146,1009.25,-0.813383907
588,22.5,44.11600113,1016,1.633488761
589,22.5,44.21699905,1015.5,0.815096631
590,22.5,44.14199829,1007.25,0.81485682
591,22.5,44.16500092,1008.25,1.630673262
592,22.5,43.51100159,1007.75,0.82120846
593,22.5,44.2519989,1005.25,0.820390489
594,22.5,44.13999939,1006.5,0.814552595
595,22.5,44.38700104,1012,-0.813310417
596,22.5,43.78499985,1009.75,0.81658498
597,22.5,44.25899887,1007.25,-0.817772167
598,22.5,44.50600052,1009.75,-0.81112974
599,22.5,44.28300095,1010.75,-0.810914346
600,22.5,44.42200089,1012.25,0
601,22.5,43.93399811,1016.25,0
602,22.5,44.29899979,1015,0
603,22.5,44.57099915,1011.75,0.810175266
604,22.5,44.38499832,1008.25,0
605,22.5,44.56200027,1010.25,0.809470044
606,22.5,44.0379982,980.25,-1.625284519
607,22.5,42.02199936,954.25,-0.836624831
608,22.5,40.68199921,922.5,0
609,22.5,39.72100067,890.75,0
610,22.5,38.38700104,860,-0.921799688
611,22.5,37.17200089,847.75,0.952896806
